household_id,income,household_size,building_type,home_age,sqft,region,utility,urban,dac_flag,baseline_gas_therms_year,baseline_elec_kwh_year,elec_rate_cents_kwh,gas_rate_dollars_therm,received_prior_rebate,adopted_heat_pump,adoption_probability,prob_decile
1,28500.0,3,single_family,23.0,2352.0,Midwest,UtilityB,1,0,486.16,1710.03,18.89,1.91,0,1,0.8831619,7
2,118914.0,5,apartment,38.0,2719.0,South,UtilityB,1,0,463.65,3114.01,26.28,1.96,0,1,0.9320779,5
3,120482.0,5,apartment,27.0,2339.0,South,UtilityB,1,1,569.2,3236.59,24.96,1.74,0,1,0.9142749,6
4,70769.0,4,multi_family,0.0,1754.0,South,UtilityA,1,0,721.59,1175.7,24.83,2.35,0,1,0.7830685,9
5,100638.0,4,single_family,65.0,1404.0,South,UtilityB,0,0,665.75,780.03,18.13,0.85,0,0,0.22102454,10
6,78487.0,4,single_family,11.0,1127.0,Midwest,UtilityA,1,0,368.63,1663.71,28.4,1.99,1,1,0.9684917,2
7,92257.0,2,apartment,32.0,336.0,South,UtilityB,1,1,437.69,2257.24,14.81,1.2,0,1,0.96214825,3
8,50582.0,4,apartment,9.0,1905.0,West,UtilityC,1,0,781.57,2630.32,25.18,1.59,0,0,0.5470351,9
9,103675.0,5,multi_family,3.0,1567.0,South,UtilityB,0,1,863.4,1478.35,22.78,1.61,0,1,0.91399604,6
10,35764.0,1,apartment,26.0,1600.0,South,UtilityA,1,0,293.39,1285.23,24.89,1.58,1,0,0.24197704,10
11,30102.0,5,single_family,18.0,2417.0,South,UtilityA,0,0,274.24,2024.27,21.36,1.24,0,1,0.8206013,8
12,81342.0,2,apartment,7.0,1733.0,West,UtilityC,1,0,1055.77,1569.62,22.56,1.06,0,1,0.9362437,5
13,78663.0,1,single_family,29.0,2937.0,Midwest,UtilityA,1,0,315.79,1751.19,25.02,0.83,0,0,0.32973287,10
14,93169.0,5,single_family,0.0,1456.0,South,UtilityB,1,1,388.03,2138.92,22.22,1.52,0,1,0.61337817,9
